lat_coords,lng_coords,city,country,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
64.9891447831624,-60.23171208136122,pangnirtung,ca,-34.23,61,12,3.51,66.15,-65.72
51.23356623821036,14.30030227762225,bautzen,de,24.8,79,0,8.05,51.18,14.43
64.55374811901487,158.45616914584082,evensk,ru,14.82,100,68,20.62,61.92,159.24
19.925421532146828,-90.49102448490648,campeche,mx,78.8,74,40,6.93,19.84,-90.54
65.26113806567028,103.72841264270869,tura,ru,10.77,69,76,6.76,64.27,100.22
23.462392184508857,25.74384733068871,asyut,eg,46.4,70,0,4.7,27.18,31.19
67.3552462340362,38.46947278427356,ostrovnoy,ru,-12,75,8,2.73,68.05,39.51
64.20067281128999,150.85257070879857,zyryanka,ru,-42.51,0,20,2.62,65.73,150.89
-10.843393585246929,27.727225001064568,lubumbashi,cd,62.57,99,92,8.55,-11.66,27.48
-12.120623898021094,-26.06774317268858,sao jose da coroa grande,br,75.66,98,80,4.52,-8.9,-35.15
-11.482718436589536,172.38354433856261,sola,vu,83.58,97,64,6.2,-13.88,167.55
35.90161988447309,-94.19027383951325,fayetteville,us,22.66,85,90,18.34,36.06,-94.16
67.01558629428789,173.70330061707205,komsomolskiy,ru,14.1,89,80,11.23,67.55,63.78
59.59991319161321,95.35439107262266,yuzhno-yeniseyskiy,ru,,,,,,
23.19721707895023,113.90295042107897,shilong,cn,63.81,77,8,2.24,23.11,113.84
51.609430357919024,158.77947508278163,petropavlovsk-kamchatskiy,ru,32,92,90,8.95,53.05,158.65
41.534806203984914,44.10787909658475,tsalka,ge,-2.82,68,8,2.39,41.6,44.09
61.982799044395705,142.42713022471827,ust-nera,ru,-61.05,0,8,1.95,64.57,143.24
32.29029980109857,67.34181552379485,uruzgan,af,30.35,96,92,3.06,32.93,66.63
53.5735955179,52.00123615691851,podbelsk,ru,,,,,,
-4.42359195655969,-75.93153854768009,lagunas,pe,75.93,88,64,2.39,-5.23,-75.68
-23.645852674742216,15.351683642472409,walvis bay,na,62.6,82,0,9.17,-22.95,14.51
51.380404567279214,73.86723147065118,ereymentau,kz,29.13,93,48,9.78,51.62,73.1
69.5410712589757,57.37307451270138,usinsk,ru,-5.25,68,56,3.18,66,57.56
46.259500845068345,-0.8741774962755642,fontenay-le-comte,fr,43.65,93,80,3.36,46.47,-0.81
2.4210085281155926,36.318068581481924,lodwar,ke,67.56,56,0,2.73,3.12,35.6
49.271910602060444,-119.30439493689153,oliver,ca,42.8,75,40,13.87,49.18,-119.55
11.911973187412485,90.70991502493774,port blair,in,75.2,94,75,5.82,11.67,92.75
-6.671561265568002,-82.24935049165904,sechura,pe,76.38,73,0,11.45,-5.56,-80.82
22.055870190708546,37.07554989732225,jiddah,sa,,,,,,
47.51685655191139,-57.29140563602016,burgeo,ca,21.48,100,20,20.85,47.61,-57.61
-12.838609480981674,163.39029528638002,kirakira,sb,83.49,100,68,5.19,-10.46,161.92
35.82488379830734,-72.23859865510956,virginia beach,us,51.4,81,90,9.17,36.85,-75.98
60.407323261605825,115.16637913324462,lensk,ru,12.57,81,88,6.53,60.71,114.91
48.96230700078593,46.03234569827137,kapustin yar,ru,30.39,89,20,14.03,48.58,45.77
-11.80943876312054,-65.46157198373605,rodrigues alves,br,78.8,94,75,2.17,-7.74,-72.65
16.038215166490303,96.22813689402233,pyapon,mm,65.9,99,0,4.41,16.29,95.68
66.29375915842945,143.2836106622098,khonuu,ru,,,,,,
42.44188649291962,-22.9731179563814,rabo de peixe,pt,57.2,76,20,6.93,37.8,-25.58
-1.333753008168955,135.42887664810632,biak,id,79.98,100,36,3.4,-0.91,122.88
37.5956629615705,80.77396838042267,aksu,cn,-2.24,62,0,3.51,41.12,80.26
-18.975212153836324,-43.21392645631488,conceicao do mato dentro,br,69.81,85,0,2.95,-19.04,-43.42
27.72438531150442,26.90132623942037,marsa matruh,eg,48.2,93,0,3.06,31.35,27.25
-11.393864058903517,44.81916462391962,mutsamudu,km,,,,,,
51.352918274609834,80.4981814311434,uglovskoye,ru,23.42,79,44,12.46,51.36,80.19
61.53527214057567,-135.42168592733864,whitehorse,ca,6.8,77,90,6.93,60.72,-135.06
-24.15392792929137,143.25741598818115,emerald,au,82.4,51,0,16.11,-23.53,148.16
-2.106742714487339,173.06461502583534,utiroa,ki,,,,,,
68.07577433666205,124.72264649124338,zhigansk,ru,-26.94,42,56,11.45,66.77,123.37
16.88216193881088,123.29130937341591,dicabisagan,ph,73.68,100,100,10,17.08,122.42
41.96795887210618,-81.88879199245152,blenheim,ca,15.8,85,90,19.46,42.33,-82
-20.940254332139247,48.0019358342787,mananjary,mg,62.12,96,92,3.06,-19.16,46.8
51.593011275532945,-94.58991255186292,kenora,ca,-14.77,75,1,4.41,49.76,-94.48
26.8294468602394,96.14559013826477,khonsa,in,46.41,92,0,1.61,26.99,95.51
4.2094597858092015,-22.56437385066232,bubaque,gw,78.18,98,0,13.13,11.28,-15.83
0.4557085728415018,96.09821085784887,sibolga,id,,,,,,
25.441472932864656,-72.06440602515143,cockburn town,bs,76.34,100,0,7.76,24.03,-74.52
32.90407379419325,-100.05679321926745,sweetwater,us,49.59,40,1,9.17,32.47,-100.41
27.81292049278632,-89.04143468160834,estelle,us,,,,,,
-0.768191978308181,146.65121805728666,lorengau,pg,80.3,100,92,12.57,-2.02,147.27
40.195463853573955,-118.70789522762337,fallon,us,,,,,,
18.068531260772858,-103.03102366926379,coalcoman,mx,,,,,,
-41.530086453256104,-65.21245064253884,puerto madryn,ar,,,,,,
65.89787246483266,32.43583625281897,loukhi,ru,9.96,81,80,6.53,66.08,33.04
57.333047536309095,71.25919698539397,ust-ishim,ru,6.32,80,56,5.41,57.69,71.17
56.7710486633826,14.966333384106207,vaxjo,se,,,,,,
34.56879363821058,67.38836144844427,panjab,af,25.49,89,88,2.95,34.38,67.02
12.533214724170023,3.482677197527039,dosso,ne,73.59,25,12,11.68,13.05,3.19
-3.4981604331987057,169.20650296928034,tabiauea,ki,,,,,,
